# SYNTHETIC SCHEMA-DEMONSTRATION DATA — see evaluation/README.md
repo_id,period,week,crit_vulns_preprod,high_vulns_preprod,vulns_to_prod,mean_detection_time_h,false_positive_rate_pct,mttd_h,deploy_freq_per_week,failed_deploy_pct,rollback_freq_pct,security_blocked_pct,ai_resol_accuracy_pct,drift_remediation_pct
1,baseline,1,2.71,11.71,1.21,69.71,12.71,17.71,2.71,13.71,7.71,5.71,0.21,0.21
1,baseline,2,2.75,11.75,1.25,69.75,12.75,17.75,2.75,13.75,7.75,5.75,0.25,0.25
1,baseline,3,2.79,11.79,1.29,69.79,12.79,17.79,2.79,13.79,7.79,5.79,0.29,0.29
1,baseline,4,2.83,11.83,1.33,69.83,12.83,17.83,2.83,13.83,7.83,5.83,0.33,0.33
1,baseline,5,2.87,11.87,1.37,69.87,12.87,17.87,2.87,13.87,7.87,5.87,0.37,0.37
1,baseline,6,2.91,11.91,1.41,69.91,12.91,17.91,2.91,13.91,7.91,5.91,0.41,0.41
1,baseline,7,2.95,11.95,1.45,69.95,12.95,17.95,2.95,13.95,7.95,5.95,0.45,0.45
1,baseline,8,2.99,11.99,1.49,69.99,12.99,17.99,2.99,13.99,7.99,5.99,0.49,0.49
1,baseline,9,3.03,12.03,1.53,70.03,13.03,18.03,3.03,14.03,8.03,6.03,0.53,0.53
1,baseline,10,3.07,12.07,1.57,70.07,13.07,18.07,3.07,14.07,8.07,6.07,0.57,0.57
1,baseline,11,3.11,12.11,1.61,70.11,13.11,18.11,3.11,14.11,8.11,6.11,0.61,0.61
1,baseline,12,3.15,12.15,1.65,70.15,13.15,18.15,3.15,14.15,8.15,6.15,0.65,0.65
1,baseline,13,3.19,12.19,1.69,70.19,13.19,18.19,3.19,14.19,8.19,6.19,0.69,0.69
1,treatment,1,0.526,2.926,0.376,24.426,9.676,10.726,7.426,4.126,1.926,20.926,91.878,79.902
1,treatment,2,0.53,2.93,0.38,24.43,9.68,10.73,7.43,4.13,1.93,20.93,91.89,79.91
1,treatment,3,0.534,2.934,0.384,24.434,9.684,10.734,7.434,4.134,1.934,20.934,91.902,79.918
1,treatment,4,0.538,2.938,0.388,24.438,9.688,10.738,7.438,4.138,1.938,20.938,91.914,79.926
1,treatment,5,0.542,2.942,0.392,24.442,9.692,10.742,7.442,4.142,1.942,20.942,91.926,79.934
1,treatment,6,0.546,2.946,0.396,24.446,9.696,10.746,7.446,4.146,1.946,20.946,91.938,79.942
1,treatment,7,0.55,2.95,0.4,24.45,9.7,10.75,7.45,4.15,1.95,20.95,91.95,79.95
1,treatment,8,0.554,2.954,0.404,24.454,9.704,10.754,7.454,4.154,1.954,20.954,91.962,79.958
1,treatment,9,0.558,2.958,0.408,24.458,9.708,10.758,7.458,4.158,1.958,20.958,91.974,79.966
1,treatment,10,0.562,2.962,0.412,24.462,9.712,10.762,7.462,4.162,1.962,20.962,91.986,79.974
1,treatment,11,0.566,2.966,0.416,24.466,9.716,10.766,7.466,4.166,1.966,20.966,91.998,79.982
1,treatment,12,0.57,2.97,0.42,24.47,9.72,10.77,7.47,4.17,1.97,20.97,92.01,79.99
1,treatment,13,0.574,2.974,0.424,24.474,9.724,10.774,7.474,4.174,1.974,20.974,92.022,79.998
2,baseline,1,3.76,15.76,1.76,74.76,13.26,18.76,2.96,14.76,8.76,6.26,0.36,0.36
2,baseline,2,3.8,15.8,1.8,74.8,13.3,18.8,3.0,14.8,8.8,6.3,0.4,0.4
2,baseline,3,3.84,15.84,1.84,74.84,13.34,18.84,3.04,14.84,8.84,6.34,0.44,0.44
2,baseline,4,3.88,15.88,1.88,74.88,13.38,18.88,3.08,14.88,8.88,6.38,0.48,0.48
2,baseline,5,3.92,15.92,1.92,74.92,13.42,18.92,3.12,14.92,8.92,6.42,0.52,0.52
2,baseline,6,3.96,15.96,1.96,74.96,13.46,18.96,3.16,14.96,8.96,6.46,0.56,0.56
2,baseline,7,4.0,16.0,2.0,75.0,13.5,19.0,3.2,15.0,9.0,6.5,0.6,0.6
2,baseline,8,4.04,16.04,2.04,75.04,13.54,19.04,3.24,15.04,9.04,6.54,0.64,0.64
2,baseline,9,4.08,16.08,2.08,75.08,13.58,19.08,3.28,15.08,9.08,6.58,0.68,0.68
2,baseline,10,4.12,16.12,2.12,75.12,13.62,19.12,3.32,15.12,9.12,6.62,0.72,0.72
2,baseline,11,4.16,16.16,2.16,75.16,13.66,19.16,3.36,15.16,9.16,6.66,0.76,0.76
2,baseline,12,4.2,16.2,2.2,75.2,13.7,19.2,3.4,15.2,9.2,6.7,0.8,0.8
2,baseline,13,4.24,16.24,2.24,75.24,13.74,19.24,3.44,15.24,9.24,6.74,0.84,0.84
2,treatment,1,0.776,3.976,0.576,26.226,10.101,11.376,7.976,4.476,2.226,22.726,91.428,80.452
2,treatment,2,0.78,3.98,0.58,26.23,10.105,11.38,7.98,4.48,2.23,22.73,91.44,80.46
2,treatment,3,0.784,3.984,0.584,26.234,10.109,11.384,7.984,4.484,2.234,22.734,91.452,80.468
2,treatment,4,0.788,3.988,0.588,26.238,10.113,11.388,7.988,4.488,2.238,22.738,91.464,80.476
2,treatment,5,0.792,3.992,0.592,26.242,10.117,11.392,7.992,4.492,2.242,22.742,91.476,80.484
2,treatment,6,0.796,3.996,0.596,26.246,10.121,11.396,7.996,4.496,2.246,22.746,91.488,80.492
2,treatment,7,0.8,4.0,0.6,26.25,10.125,11.4,8.0,4.5,2.25,22.75,91.5,80.5
2,treatment,8,0.804,4.004,0.604,26.254,10.129,11.404,8.004,4.504,2.254,22.754,91.512,80.508
2,treatment,9,0.808,4.008,0.608,26.258,10.133,11.408,8.008,4.508,2.258,22.758,91.524,80.516
2,treatment,10,0.812,4.012,0.612,26.262,10.137,11.412,8.012,4.512,2.262,22.762,91.536,80.524
2,treatment,11,0.816,4.016,0.616,26.266,10.141,11.416,8.016,4.516,2.266,22.766,91.548,80.532
2,treatment,12,0.82,4.02,0.62,26.27,10.145,11.42,8.02,4.52,2.27,22.77,91.56,80.54
2,treatment,13,0.824,4.024,0.624,26.274,10.149,11.424,8.024,4.524,2.274,22.774,91.572,80.548
3,baseline,1,3.31,13.81,1.51,71.81,12.31,18.31,2.91,14.31,8.31,6.01,0.21,0.21
3,baseline,2,3.35,13.85,1.55,71.85,12.35,18.35,2.95,14.35,8.35,6.05,0.25,0.25
3,baseline,3,3.39,13.89,1.59,71.89,12.39,18.39,2.99,14.39,8.39,6.09,0.29,0.29
3,baseline,4,3.43,13.93,1.63,71.93,12.43,18.43,3.03,14.43,8.43,6.13,0.33,0.33
3,baseline,5,3.47,13.97,1.67,71.97,12.47,18.47,3.07,14.47,8.47,6.17,0.37,0.37
3,baseline,6,3.51,14.01,1.71,72.01,12.51,18.51,3.11,14.51,8.51,6.21,0.41,0.41
3,baseline,7,3.55,14.05,1.75,72.05,12.55,18.55,3.15,14.55,8.55,6.25,0.45,0.45
3,baseline,8,3.59,14.09,1.79,72.09,12.59,18.59,3.19,14.59,8.59,6.29,0.49,0.49
3,baseline,9,3.63,14.13,1.83,72.13,12.63,18.63,3.23,14.63,8.63,6.33,0.53,0.53
3,baseline,10,3.67,14.17,1.87,72.17,12.67,18.67,3.27,14.67,8.67,6.37,0.57,0.57
3,baseline,11,3.71,14.21,1.91,72.21,12.71,18.71,3.31,14.71,8.71,6.41,0.61,0.61
3,baseline,12,3.75,14.25,1.95,72.25,12.75,18.75,3.35,14.75,8.75,6.45,0.65,0.65
3,baseline,13,3.79,14.29,1.99,72.29,12.79,18.79,3.39,14.79,8.79,6.49,0.69,0.69
3,treatment,1,0.726,3.526,0.536,25.226,9.401,11.126,7.776,4.376,2.151,21.726,92.478,81.002
3,treatment,2,0.73,3.53,0.54,25.23,9.405,11.13,7.78,4.38,2.155,21.73,92.49,81.01
3,treatment,3,0.734,3.534,0.544,25.234,9.409,11.134,7.784,4.384,2.159,21.734,92.502,81.018
3,treatment,4,0.738,3.538,0.548,25.238,9.413,11.138,7.788,4.388,2.163,21.738,92.514,81.026
3,treatment,5,0.742,3.542,0.552,25.242,9.417,11.142,7.792,4.392,2.167,21.742,92.526,81.034
3,treatment,6,0.746,3.546,0.556,25.246,9.421,11.146,7.796,4.396,2.171,21.746,92.538,81.042
3,treatment,7,0.75,3.55,0.56,25.25,9.425,11.15,7.8,4.4,2.175,21.75,92.55,81.05
3,treatment,8,0.754,3.554,0.564,25.254,9.429,11.154,7.804,4.404,2.179,21.754,92.562,81.058
3,treatment,9,0.758,3.558,0.568,25.258,9.433,11.158,7.808,4.408,2.183,21.758,92.574,81.066
3,treatment,10,0.762,3.562,0.572,25.262,9.437,11.162,7.812,4.412,2.187,21.762,92.586,81.074
